pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,448.232,247.42,175.8,mappedSection,mappedSegRangeVar
720575940625369884,417.62,226.54,160.12,417.6,226.432,160.16,LPLC1,,,,dend[1171],0.7635996908054347
720575940621722032,407.428,224.364,164.84,407.328,224.268,164.84,LPLC1,,,,dend[1242],1.0
720575940614453679,445.616,211.584,153.88,445.648,211.72,153.92,LPLC1,,,,dend[257],0.05717332195299298
720575940614089197,429.136,214.144,159.36,429.084,214.248,159.36,LPLC1,,,,dend[353],0.41161747711331775
720575940634361336,403.352,226.86,165.6,403.324,226.764,165.64,LPLC1,,,,dend[1226],0.5273526974357321
720575940636703977,421.204,225.52,161.6,421.12,225.424,161.6,LPLC1,,,,dend[1179],1.0
720575940616934356,435.8,213.78,158.44,435.724,213.784,158.48,LPLC1,,,,dend[317],0.8635041967124436
720575940629778587,404.892,230.424,168.64,404.972,230.316,168.64,LPLC1,,,,dend[1278],0.6476168539228776
720575940627555197,393.332,222.708,162.0,393.22,222.688,161.96,LPLC1,,,,dend[1472],1.0
720575940646708788,442.864,216.188,155.36,442.832,216.064,155.28,LPLC1,,,,dend[271],0.866369106223428
720575940635631211,428.316,211.768,157.32,428.268,211.612,157.32,LPLC1,,,,dend[344],0.8091803101693851
720575940614089197,429.144,214.14,159.4,429.076,214.2,159.4,LPLC1,,,,dend[353],0.432016638115638
720575940631104313,412.648,223.136,165.4,412.584,223.192,165.36,LPLC1,,,,dend[1302],0.3229103424552193
720575940626260490,423.352,225.896,162.0,423.432,225.836,162.04,LPLC1,,,,dend[1182],1.0
720575940615934150,430.844,212.112,155.44,430.744,212.168,155.44,LPLC1,,,,dend[325],1.0
720575940625031426,425.02,224.98,159.76,424.96,225.016,159.72,LPLC1,,,,dend[1183],1.0
720575940632086573,407.136,230.584,165.12,407.048,230.776,165.12,LPLC1,,,,dend[1261],0.43398585249865296
720575940627907205,412.86,224.172,166.16,412.764,224.068,166.16,LPLC1,,,,dend[1302],0.7807069493014535
720575940636703977,430.308,213.356,157.16,430.348,213.464,157.16,LPLC1,,,,dend[347],0.1971537683842045
720575940615999547,411.788,224.572,161.52,411.8,224.676,161.52,LPLC1,,,,dend[1290],1.0
720575940640792973,412.2,231.128,165.92,412.236,231.304,165.96,LPLC1,,,,dend[1282],0.6710781084439797
720575940625175068,417.624,226.416,159.96,417.744,226.428,159.96,LPLC1,,,,dend[1171],0.9490148269439871
720575940627806992,418.224,221.668,166.44,418.128,221.78,166.44,LPLC1,,,,dend[1320],0.2907774524254602
720575940627806992,407.136,222.568,164.36,407.084,222.636,164.36,LPLC1,,,,dend[1239],0.9274215809158626
720575940646708788,442.888,216.184,155.4,442.836,216.06,155.4,LPLC1,,,,dend[271],0.9101695233605539
720575940632946477,404.144,227.3,167.4,404.044,227.264,167.36,LPLC1,,,,dend[1216],0.39590009471183457
720575940631104313,430.096,212.944,159.88,430.012,213.012,159.88,LPLC1,,,,dend[353],1.0
720575940646708788,430.292,219.304,161.52,430.36,219.396,161.52,LPLC1,,,,dend[314],0.42235445557108714
720575940622670845,407.324,225.108,163.84,407.24,225.044,163.8,LPLC1,,,,dend[1232],0.5300076192174328
720575940637905478,442.92,215.016,155.2,442.948,215.112,155.16,LPLC1,,,,dend[270],0.009217786176115494
720575940627806992,420.076,221.508,165.44,419.944,221.42,165.4,LPLC1,,,,dend[1318],0.5367645876702382
720575940646708788,430.344,218.6,161.0,430.42,218.46,161.0,LPLC1,,,,dend[306],0.9162647198264358
