pre,pre_x,pre_y,pre_z,post_x,post_y,post_z,type,Unnamed: 9,248.972,mappedSection,mappedSegRangeVar
720575940612518055,415.088,233.82,157.52,414.996,233.968,157.48,LC4,,,dend[554],0.8468470933962079
720575940625038090,423.808,240.24,147.56,423.696,240.168,147.56,LC4,,,dend[848],0.6967075917099731
720575940619397542,411.912,233.592,158.32,411.844,233.724,158.28,LC4,,,dend[426],0.5078799317727511
720575940617026260,398.876,242.576,168.64,398.832,242.692,168.64,LC4,,,dend[978],0.9813654714290616
720575940630484495,435.252,233.192,145.76,435.244,233.308,145.76,LC4,,,dend[92],0.9754906592063058
720575940616713355,395.644,247.568,162.48,395.48,247.488,162.48,LC4,,,dend[1291],0.18354834921404667
720575940614572742,420.564,239.752,149.28,420.716,239.8,149.32,LC4,,,dend[354],0.5703265260722319
720575940630998339,428.82,233.984,152.72,428.808,234.108,152.72,LC4,,,dend[282],0.9820179714485968
720575940613260959,424.696,237.008,146.88,424.756,237.048,146.84,LC4,,,dend[842],0.8551450004897106
720575940611134833,437.944,231.816,138.12,437.844,231.712,138.12,LC4,,,dend[25],0.6844323764158969
720575940617266722,392.7,239.488,168.56,392.576,239.54,168.56,LC4,,,dend[1207],0.2700502294540618
720575940617266722,413.012,240.156,153.6,412.904,240.032,153.6,LC4,,,dend[700],0.5633244261439597
720575940617026260,417.856,236.0,158.6,417.884,235.864,158.64,LC4,,,dend[582],0.7942720342800784
720575940625934973,399.752,241.124,165.2,399.688,241.268,165.16,LC4,,,dend[978],0.3247052428284444
720575940617266722,415.604,234.984,156.88,415.688,234.928,156.88,LC4,,,dend[553],1.0
720575940615575007,398.672,247.408,157.64,398.676,247.528,157.6,LC4,,,dend[916],0.8009227017051727
720575940617266722,425.956,236.636,152.64,426.064,236.568,152.68,LC4,,,dend[255],0.6172953776547786
720575940618676440,407.952,243.892,161.52,407.948,243.772,161.56,LC4,,,dend[1416],0.1047857583528345
720575940615127227,394.828,247.48,162.56,394.98,247.56,162.56,LC4,,,dend[1290],0.7291476454566043
720575940631338271,391.12,240.068,164.56,391.212,240.056,164.52,LC4,,,dend[1252],0.30589582498312046
720575940649229433,428.12,230.044,152.36,428.096,229.932,152.32,LC4,,,dend[835],0.7974553196180347
720575940625934973,414.712,234.988,147.84,414.6,234.928,147.8,LC4,,,dend[627],0.19122811994742064
720575940615575007,391.404,246.768,168.16,391.272,246.776,168.16,LC4,,,dend[1242],0.8959502346296702
720575940614572742,418.576,239.48,151.16,418.668,239.38,151.12,LC4,,,dend[211],1.0
720575940620903551,434.944,237.784,141.76,434.884,237.888,141.72,LC4,,,dend[1520],0.5990878460472755
720575940613022175,406.876,239.676,159.88,406.952,239.572,159.88,LC4,,,dend[502],0.8999314462398907
720575940625038090,415.944,236.828,155.2,415.912,236.972,155.16,LC4,,,dend[199],0.6557499492534814
720575940625991043,432.336,226.652,154.88,432.192,226.672,154.84,LC4,,,dend[177],0.6766167181421158
720575940633580384,427.544,243.8,144.64,427.58,243.688,144.64,LC4,,,dend[1581],0.38087386315447985
720575940640612480,413.6,230.728,155.24,413.58,230.836,155.28,LC4,,,dend[377],0.6392129696470402
720575940613256863,435.664,236.38,135.24,435.756,236.376,135.24,LC4,,,dend[37],0.2208385238876894
720575940640612480,424.876,238.032,150.6,424.808,238.068,150.56,LC4,,,dend[308],0.7729093353138903
720575940625934973,428.46,237.16,152.4,428.464,237.328,152.36,LC4,,,dend[285],0.5224870585497049
720575940630017810,425.884,234.88,146.76,425.872,234.96,146.76,LC4,,,dend[819],0.9994570554375495
720575940625038090,428.176,240.424,141.16,428.024,240.408,141.12,LC4,,,dend[1576],0.22515815609205714
720575940619397542,403.948,242.12,162.16,403.88,242.024,162.2,LC4,,,dend[953],1.0
720575940625934973,400.912,240.172,165.32,400.88,240.056,165.32,LC4,,,dend[955],1.0
720575940630998339,405.288,243.532,156.92,405.328,243.44,156.92,LC4,,,dend[890],1.0
720575940619315696,415.752,233.2,158.92,415.896,233.176,158.96,LC4,,,dend[551],1.0
720575940622939836,408.928,235.78,160.16,408.972,235.636,160.16,LC4,,,dend[493],1.0
720575940626626895,421.744,233.848,154.92,421.684,233.936,154.96,LC4,,,dend[191],0.6542410595435941
720575940625038090,401.136,239.836,165.52,401.08,239.952,165.48,LC4,,,dend[955],0.9919833951160247
720575940625038090,401.08,239.712,165.32,401.024,239.872,165.32,LC4,,,dend[955],0.7793516287706006
720575940612518055,432.608,240.268,146.96,432.644,240.152,146.96,LC4,,,dend[1551],0.19965209072692797
720575940615127227,411.808,234.756,162.24,411.788,234.88,162.24,LC4,,,dend[447],0.23985683575285058
720575940615127227,422.38,238.88,149.84,422.256,238.832,149.84,LC4,,,dend[349],0.2631913554450733
,,,,,,,,,,dend_11[55],
720575940618312606,429.5,237.224,152.92,429.46,237.304,152.84,LC4,,,dend[287],0.07642928482272898
720575940633580384,407.808,245.164,155.0,407.764,245.284,155.04,LC4,,,dend[1401],0.8619093630492127
720575940605598892,419.408,241.724,153.04,419.32,241.544,153.04,LC4,,,dend[215],0.40918359374710883
720575940618113300,415.864,241.344,153.36,415.792,241.284,153.32,LC4,,,dend[731],0.0926167938486606
720575940618676440,429.804,234.8,150.84,429.888,234.74,150.84,LC4,,,dend[268],0.9956594782870198
720575940626626895,425.008,240.58,151.08,424.912,240.532,151.08,LC4,,,dend[332],0.5005523880975022
720575940616713355,425.876,234.808,150.64,425.816,234.912,150.64,LC4,,,dend[339],0.9036764375717614
720575940630851036,405.956,242.772,155.48,405.872,242.66,155.52,LC4,,,dend[893],0.8214497575317132
720575940615575007,394.764,240.868,161.88,394.872,240.924,161.88,LC4,,,dend[1081],0.27270567158618264
720575940612518055,425.632,236.14,152.68,425.444,236.148,152.64,LC4,,,dend[253],0.6089950156876687
720575940618723749,395.792,243.688,159.64,395.8,243.564,159.64,LC4,,,dend[1303],0.6182916443313374
720575940629753807,410.772,238.748,162.6,410.608,238.74,162.6,LC4,,,dend[437],0.9791338059245728
720575940614572742,426.012,231.48,157.88,425.944,231.612,157.88,LC4,,,dend[159],1.0
720575940614572742,423.924,237.656,146.12,424.048,237.688,146.12,LC4,,,dend[843],0.45066582840414465
720575940625991043,408.076,242.432,154.12,408.128,242.56,154.12,LC4,,,dend[1448],0.898256622652624
720575940613260959,417.472,234.624,158.8,417.472,234.78,158.8,LC4,,,dend[603],0.550014255413044
720575940614572742,409.576,240.488,158.6,409.464,240.464,158.64,LC4,,,dend[509],0.7563672434280237
720575940659060865,399.184,241.7,167.44,399.216,241.652,167.44,LC4,,,dend[1109],0.4772867493020685
720575940633580384,400.892,243.972,163.76,400.864,243.868,163.76,LC4,,,dend[990],0.6434426066587111
720575940613260959,435.092,239.104,143.72,435.22,239.116,143.72,LC4,,,dend[1531],0.9100664725058014
720575940619315696,391.544,243.792,164.4,391.688,243.768,164.44,LC4,,,dend[1257],1.0
720575940618807105,397.448,241.524,166.4,397.464,241.384,166.36,LC4,,,dend[1117],0.5034409445439204
720575940617026260,400.032,241.608,167.44,399.936,241.5,167.4,LC4,,,dend[1110],0.7222889395011759
